id,name,tab_type_id,creation_datetime,update_datetime,deleted
1,Console,12,2024-07-07 13:21:53,2024-08-21 17:01:23,0
2,Lecteur de texte,1,2024-06-18 09:36:21,2024-07-23 15:19:59,0
