id,name,tab_type_id,creation_datetime,update_datetime,deleted
1,Console R,2,2023-08-07 20:11:14,2023-08-22 14:24:32,0
2,Figure (ggplot2),2,2023-06-28 22:01:19,2023-08-23 10:25:48,1
