id,name,description,category,url_address,creator_id,datetime,deleted
1,Boris Delange,NA,plugin,https://raw.githubusercontent.com/BorisDelange/LinkR-content/main/plugins,1,2023-06-14 20:47:41,0
2,Boris Delange,NA,script,https://raw.githubusercontent.com/BorisDelange/LinkR-content/main/scripts,1,2023-06-14 20:47:47,0
