id,drug_concept_id,ingredient_concept_id,amount_value,amount_unit_concept_id,numerator_value,numerator_unit_concept_id,denominator_value,denominator_unit_concept_id,box_size,valid_start_date,valid_end_date,invalid_reason
63008,19077548,797399,300,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63009,19077549,797399,400,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63017,19077577,1558242,600,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63022,19077601,45892419,NA,NA,3,8576,NA,8587,NA,2015-03-02,2099-12-31,NA
63032,19077636,1560171,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63033,19077638,1560171,5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63042,19077682,1559684,5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63079,19077763,1163944,NA,NA,20,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
63132,19077928,766529,0.5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63133,19077929,766529,1,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63181,19078106,974166,25,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63276,19078530,46221581,NA,NA,100,8510,NA,8587,NA,1970-01-01,2099-12-31,NA
63280,19078554,1596977,NA,NA,100,8510,NA,8587,NA,1970-01-01,2099-12-31,NA
63283,19078557,1596977,NA,NA,100,8510,NA,8587,NA,1970-01-01,2099-12-31,NA
63355,1383849,1383815,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63357,1383988,1383925,40,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63359,1383851,1383815,20,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63404,1192221,1192218,NA,NA,0.21000000000000002,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
63405,711588,711584,250,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63406,711589,711584,500,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63411,1742284,1742253,750,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63419,1736892,1736887,600,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63420,1308250,1308216,2.5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63421,1308251,1308216,5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63438,1107882,1107830,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
63506,909502,909440,NA,NA,150,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
63507,909502,901656,NA,NA,100,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
