id,category,name,description,tab_group_id,parent_tab_id,display_order,creator_id,datetime,deleted
1,aggregated,Démographie,NA,2,NA,1,NA,2024-09-05 13:44:03,0
2,aggregated,Outcome,NA,2,NA,2,NA,2024-09-05 13:53:24,0
