id,category,name,tab_id,plugin_id,display_order,creator_id,datetime,deleted
1,aggregated,Age,1,1,1,NA,2024-01-03 09:53:20,0
2,aggregated,Console,1,2,2,NA,2024-01-03 09:56:06,0
