id,name,tab_type_id,creation_datetime,update_datetime,deleted
1,Figure {ggplot2},2,2023-06-28 22:01:19,2024-01-02 14:54:40,0
2,R console,2,2023-08-07 20:11:14,2023-12-03 19:34:01,0
