id,name,data_source_id,creator_id,creation_datetime,update_datetime,deleted
1,MIMIC-III,NA,NA,2023-10-16 09:11:07,2023-10-16 20:31:30,1
2,MIMIC-IV demo,NA,NA,2023-10-15 17:08:40,2023-10-16 19:33:15,0
