id,name,tab_type_id,creation_datetime,update_datetime,deleted
1,Séries temporelles {dygraphs},1,2023-11-20 22:43:59,2023-12-12 17:56:48,0
2,Plot (ggplot2),2,2023-06-28 22:01:19,2023-12-03 22:20:47,0
