base,en,fr
plot_parameters,Plot parameters,Paramètres de la figure
variables,Variables,Variables
plot_choice,Plot choice,Choix de la figure
x_variable,X variable,Axe des X
y_variable,Y variable,Axe des Y
show,Show plot,Afficher la figure
save,Save,Sauvegarder
hide_params,Hide parameters,Masquer les paramètres
x_label,X-axis label,Texte de l'axe des X
y_label,Y-axis label,Texte de l'axe des Y
theme,Theme,Thème
new_trans,New trans2,Nouvelle trad2
